Level;Device;;Trigger;;;Identification;;;;;;;Parameters;;;;;;;;;;Kommentar
;;;;;;;;;;;;;Condition;;;;;;Reaction;;;;
;Model / Manufacturer;Type;Source;Register / Module;Bit;Code;;;;Namespace;Enumerator;Text;Scope;Type;Trigger;;Acknowledge;;Dera-ting;Auto Ack. / Restart;Level;Target;
;;;;;;Main;M;B;Full;;;;;;Level;Delay;Level;Delay;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Hardware;Enasys;IPU;MCU;ErrorIRQ;00;0x20;X;2;0x20X200;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_IGBT_3;Temp Trip IGBT 3;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;01;0x20;X;2;0x20X201;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_IGBT_2;Temp Trip IGBT 2;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;02;0x20;X;2;0x20X202;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_IGBT_1;Temp Trip IGBT 1;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;03;0x20;X;2;0x20X203;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_4;Temp Trip Board;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;04;0x20;X;2;0x20X204;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_3;Temp Trip Grid Choke;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;05;0x20;X;2;0x20X205;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_2;Temp Trip Heatsink Sensor;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;06;0x20;X;2;0x20X206;ERROR_CODES::IPU::v3LV1::MCU;TEMP_TRIP_1;Temp Trip Module Choke;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;07;0x20;X;2;0x20X207;ERROR_CODES::IPU::v3LV1::MCU;DESAT_TRIP_1;IGBT 1 Saturation;SHARC;Extern;;;;;;;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;08;0x20;X;2;0x20X208;ERROR_CODES::IPU::v3LV1::MCU;DESAT_TRIP_2;IGBT 2 Saturation;SHARC;Extern;;;;;;;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;09;0x20;X;2;0x20X209;ERROR_CODES::IPU::v3LV1::MCU;DESAT_TRIP_3;IGBT 3 Saturation;SHARC;Extern;;;;;;;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;10;0x20;X;2;0x20X20A;ERROR_CODES::IPU::v3LV1::MCU;INTERN_TRIP_1;Invalid Dutycycles Phase 1;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;11;0x20;X;2;0x20X20B;ERROR_CODES::IPU::v3LV1::MCU;INTERN_TRIP_2;Invalid Dutycycles Phase 2;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;12;0x20;X;2;0x20X20C;ERROR_CODES::IPU::v3LV1::MCU;INTERN_TRIP_3;Invalid Dutycycles Phase 3;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;13;0x20;X;2;0x20X20D;ERROR_CODES::IPU::v3LV1::MCU;POWER_TRIP;Power Trip;SHARC;Extern;;;;;;;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;14;0x20;X;2;0x20X20E;ERROR_CODES::IPU::v3LV1::MCU;OC_TRIP_1;Overcurrent Phase 1;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;15;0x20;X;2;0x20X20F;ERROR_CODES::IPU::v3LV1::MCU;OC_TRIP_2;Overcurrent Phase 2;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;16;0x20;X;2;0x20X210;ERROR_CODES::IPU::v3LV1::MCU;OC_TRIP_3;Overcurrent Phase 3;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
Hardware;Enasys;IPU;MCU;ErrorIRQ;17;0x20;X;2;0x20X211;ERROR_CODES::IPU::v3LV1::MCU;SWFREQ_TRIP;Switching Frequency Error;SHARC;Extern;;;;;;RESTART;SHUTDOWN;CFG_REDUNDANT;
